label,text,label_enc
Not-Hope,ಇಂಟಾ ಕಟೆ ಮತ್ತೆ ಮತ್ತೆ ಕೆಆರ್ಎಲ್ಬೇಕು ಅನ್ಸತ್ತೆ ಸೂಪರ್,1
Not-Hope,ಹುಗಿ ಗುರು ಬಡೆತಾವ್ಕೆ,1
Not-Hope,ರಶ್ಮಿಕಾ ಗೆ ಬರ್ನೋಲ್ ತಂಕೋದ್ರಪ್ಪ!!,1
Not-Hope,ಶಂಕರ್ ಪಾಟಿಲ್ ಸುಪ್ಪರ,1
Not-Hope,@ಡಿಆರ್ ವಿಷ್ಣು ದಾದ- ಅಪ್ಪು,1
Not-Hope,ಯೇನು ತಪ್ಪಿಲ್ಲ ಗುರು ...,1
Not-Hope,ಡಿಸ್ಲೈಕ್ ಮಾಡಿರೋರೊ ರಶ್ಮಿಕಾ ಫಾನ್ಸ್ ಇರ್ಬೇಕು,1
Not-Hope,ಡಿಯಾ ಇಸ್ ವಂಡರ್ಫುಲ್ ಮೂವಿ. ಇನ್ನು ಈ ಫಿಮಿನಾ ಹ್ಯಾಂಗೋವರ್ ಅಲ್ಲೆ ಇದಿನಿ. ಇದು ಹೈಹೆಸ್ಟ್  ಐಎಂಡಿಬಿ ರೇಟೆಡ್ ಕನ್ನಡ ಮೂವಿ  9.4,1
Not-Hope,ಪಕ್ಕ ನ್ಯೂ ಯಿಯರ್ ಪಾರ್ಟಿ ಸೋಂಗ್.... ಮ್/,1
Not-Hope,ನನ್ನ ಈ ಕಾಮೆಂಟ್ ಕನ್ನಡ  ಚಲನಚಿತ್ರ ನಟ ನಟಿಯರು,1
Hope,ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರ,0
Not-Hope,ಸಾರಿ ಫೋರ್ ಕನ್ನಡ್ ಇಂಡಸ್ಟ್ರಿ...ಇ      ಬಟ್ ಇಂತಹ ಫಿಲ್ಮ್ ಬಗ್ಗೆ ಯಾವುದೆ ಮಾಹಿತಿ ಇರಲಿಲ್ಲ ...ಈಗ ಮತ್ತೆ ಎಲ್ಲಾ ಟಾಕಿಸಲ್ಲಿ ಹಾಕಿಸಿ...ಸರ್...ಆದರೆ ಈಗ ಮತ್ತೆ  ಬಂದರೆ..ಟಾಕಿಸಲ್ಲಿ ಫುಲ್ ಆಗಿರುತ್ತದೆ ...,1
Not-Hope,ಶಾಸನ ವಿಧಿಸಿದ ಎಚ್ಚರಿಕೆ ನ್ಈ ಹಾಡು ನಿಮ್ಮ ಡೇಟಾ ಗೆ ಹಾನಿಕಾರಕ,1
Hope,ಭಾರತದ ಗಡಿಗೆ ಅವನನ್ನೇ ಕಳುಹಿಸಿ ನಿಲ್ಲಿಸಲಿ ಇದ್ದವನು,0
Hope,ಅತ್ಯುತ್ತಮ ಪ್ರಯತ್ನ ಶುಭವಾಗಲಿ,0
Hope,ಸೂಪರ್ ಗುರು,0
