text,label,label_enc
Feliz q @suselparedes no haya podido asumir como miembro de mesa directiva de congreso. Una traición tan grande a la comunidad #LGTBI+ no puede ser premiada de esa forma. Aliarse con un movimiento homofóbico sin duda alguna solo es hambre de poder. El partido morado ahora es rojo,NHS,1
"@ierrejon Ante el avance social por los derechos #LGTBI los intolerantes solo saben vomitar estupideces, rabia y odio. Muy típico del facherio. Yo también me alegro que Cristofer Benítez no sea ruso, porque allí su pasión y dedicación estaría silenciadas o entre rejas. #StopHomofobia",HS,0
"#DragRaceFinalUna corona #LGTBI 🏳️‍🌈 sólo podía recaer en alguien tolerante con la gestación subrogada.Felicidades a @CarmenFarala ✌En cambio, a la subrófoba @iamthekillerq: mejor si dejas de pretender ser icono #gsLGTBICiao pescao",HS,0
@marcoasensio10  se convierte en el primer jugador transexual en dar una asistencia en los JJOO. Enhorabuena!#Tokyo2020 #LGTBI,HS,0
@Santi_ABASCAL Lo mismo que haces tú con los colectivos #LGTBI y con los inmigrantes. Así que a chuparla,NHS,1
Personalmente me hubiera gustado que alguna de esas candidaturas estuvieran en puestos más de salida. Que consigan bancas.Otras candidaturas #LGTBI que sí tienen asegurada banca podrían hacerse más visibles y ayudar a muchas personas que aún sufren sus armarios.Y ya me calmo.,HS,0
"Pedíamos candidaturas #LGTBI y hay candidaturas #LGTBI Algunas más visibles que otras, algunas de la gestión y la política partidaria, algunas de la militancia y el activismo. Las hay en las dos fuerzas principales y en el FIT.En las demás listas “te la debo” (decía uno).",HS,0
"@serrano_camen Que podrían revisarse los criterios y cambiar cosas, OK. Peticiones al COI...  Pero lo que no se puede consentir son las amenazas, insultos y el #bullying gratuito que esta sufriendo ella y otra gente #LGTBI La falta de respeto y empatía es lo que me duele más de toda esto",HS,0
El @psn_valle_egues Reclaman políticas #LGTBI al equipo de gobierno del Valle de Egüés así como tb solicitamos en pleno y en comisiones q se pintasen bancos con los colores del arcoíris para visibilizar a todas las personas LGTB¡Ayudemos a impulsar  el respeto ! @Sarrigurenweb,HS,0
"@Peach_Hard91 @telecincoes Esq la siguiente será como la de franco/abascalSolo habido unos años de ""fantasia"" de 2000 a 2017De los 2021 años el 95% del tiempo   habido ese odio a los #lgtbiYa ni hablamos d los millones d años antes del año0 ""antes d cristo"" donde nos quemaban vivos #justiciaparasamuel",NHS,1
"@guillemclua El día que os maten al grito de ""hetero muerto abono pa mi huerto"" 2 doce de personas #lgtbi o más bien 1 docena de trastornados mentalesEse día yo misma apoyaría el #OrgulloheteroMientras tanto los q deciis eso no os disferencias apenas  a los asesinos de #justiciaparasamuel",NHS,1
"derecho q amplía y visibiliza todas las formas de vida q se desarrollan fuera del binario  masculino/femeninoNuestros nombres, nuestras identidades y nuestras formas de vida son nuestros derechos!#lgtbi #diversidad #dni #identidaddegenero  #nobinaries #derecho #cha",HS,0
"El Senado de #Chile aprobó el proyecto de ley para legalizar el matrimonio igualitario, una demanda histórica del movimiento #LGTBI que aún debe sortear en las próximas semanas otra votación en la Cámara de Diputados para su entrada en vigor.",HS,0
@Villarrubia_67 No hablo de 1 guerra como la de nuestros abuelosPero llegado aesos extremos los millones de #lgtbi lejos de irnos temblando debajo de la cama tendríamos q tomarnos la justicia por nuestra cuentaPara q llore mi madre que llore la del  facha de #VoxEsImparable,NHS,1
@luli1377197098 @PensamientosBP @Nieves__AT @Karlita_SinMas @makarawarr7 Tal ha sido el #ciberacoso que tuve que quitar mi foto real (todas esas cobardes usan fotos falsas o imágenes) eliminar mi bandera #lgtbi solo para intentar frenar la sangría de denuncias diarias a mi cuenta y aun así no lograron q me la eliminarán#APOYOROCIO20J,NHS,1
"@LaHoraTVE @begonavillacis Te mola la orina #Lgtbi?...Porque marchas con ellos siempre, aunque os lancen orina.",NHS,1
Gran gesto de @mediasetcom por emitir ahora en pleno prime time #ConAmorSimon #LoveSimon.A ver si empiezan entender por qué muchas personas #lgtbi no se atreven a salir del armario con la familia.Ojalá más cine y visibilidad #LGTBIQ en la tele.,HS,0
"Hoy, @telecincoes emite #ConAmorSimon.Para una vez que un canal generalista, emite contenido #LGTBI que trata el tema con respeto, y no en plan burla. Hay que verlo y apoyarlo.Ojalá tenga una audiencia brutal y empecemos a ver películas como #MiNombreEsHarveyMilk en prime time.",HS,0
"@_mmanrique @Otto_Mas @lolosaurez @ElCazadorTVE Si nuestra vida se dibujara en Tweets todos tendríamos algún Tweet que no reflejaría lo que en realidad somos, para bien y para mal. Insisto, creo que esa intervención en el programa en defensa del colectivo #LGTBI+ le hace grande y lo más importante SUMA!",HS,0
"Nunca permitiremos estigmatizar a parte de nuesra sociedad, sostuvo la 🇪🇺UE, y emplazó a 🇭🇺Hungría y a 🇵🇱Polonia a revisar sus medidas contra las personas #LGTBI en dos meses, para evitar un siguiente paso hacia el Tribunal de Justicia y sanciones financieras.",HS,0
Todo mi apoyo 👏👏👏 a @AliciaVRubio y a su valiente discurso contra la ley #LGTBI de la @ComunidadMadrid,NHS,1
"Esto de ir atacando personas con capacidades distintas,de colectivo #lgtbi,sin techo u otro colectivos vulnerables,es una moda de ahora o es que se están criando demasiados cabrones?Porqué no lo entiendo.Hasta las narices de los padres que les ríen las putas gracietas a sus hijxs",NHS,1
"Señores que la ley #LGTBI que señala la UE no es política de controlar a Hungría y Polonia, son derechos y libertades fundamentales hacia esas personas que son de carne y hueso como nosotros. No seamos del pensamiento del Brexit para ocultar la homofobia.",HS,0
"@TardeLoQueTarde @ongrescate @JuliaVarela__ @rne Esta 👇situación que viven millones de personas en el mundo es muy grave, preocupante e inhumana #gènero #LGTBI",HS,0
Donde estan los del #LGTBI SALIENDO A LA CALLE A FAVOR DE LA LIBERACIÓN DE CUBA?? DONDE ESTA EL BLACKMATTER O COMO SE LLAMEN??,NHS,1
@vicgondor @PabloEchenique @J_Sanchez_Serna A ver si te vas a vivir a cuba como yo he vivido y aun siendo extranjera por defender los derechos #LGTBI  he sido detenida.#SOSCubaLibre #SOSMatanzasCuba #CubaEsUnaDictadura,NHS,1
"La verdad es que nunca había considerado que sufriera acoso o, al menos, nunca había sido capaz de reconocerlo. En pleno siglo XXI, me lanzo a escribir algunas reflexiones, no desde el rencor, sino para intentar hacer entender algunas cosas (hilo) #LGTBI #LGTBIfobia #homofobia",HS,0
Innumerables agresiones las últimas semanas (aparte del asesinato de Samuel) a gente #LGTBI en España.Pero hay gente a la parece que solo le importa lo que pasa en Cuba viendo Twitter.¿Las víctimas de allí importan más que las de aquí o cómo es la cosa?,NHS,1
"@elmundoes Ostie!! ¿Cómo se le ocurre deslumbrar de esa manera al pobre xiquet?, pos claro, no le quedaba otra que matar a #Samuel .... otra denuncia os merecéis vosotros por redactar noticias como esta. #SamuelLuiz #Samuelsomostodos #LGTBIfobia #LGTBI #LGTBIQ #nomascrimenesdeodio",NHS,1
@CarlaAntonelli @eldiarioes Siempre los mismos pretextos.Siempre les mismes muertes.Siempre las mismas heridas.Siempre los mismos machistas.Siempre el mismo patriarcado.Siempre el mismo capitalismo.Siempre el mismo racismo.Siempre las mujeres.Siempre las personas #trans.Siempre las personas #LGTBI.,NHS,1
"@ERRebeENE Después de @rocioseguirviva y @DragRaceEs me siento en absoluta sintonía con el #feminismo y con el colectivo #LGTBI ,ahora más k nunca. Perro no come perro.",HS,0
Espero de corazón que se convierta en una herramienta para la la lucha por la igualdad en el deporte de las mujeres y el colectivo #LGTBI ¡Feliz de publicar con un equipo tan comprometido y lleno de talento! 🏳️‍🌈🙌,HS,0
Desde Grupo ASG rechazamos de forma tajante la ola de violencia hacia el colectivo #LGTBI+.QUEDARSE CALLADO ES SER PARTE DEL PROBLEMA.,HS,0
"@LavinJoaquin a que estas jugando?  ""No al Aborto No al Matrimonio Igualitario"" La  tendencia mundial va en el avance de estas dos realidades. Yo discrepo en algunos puntos, pero existe y hay que permitirlo aceptarlo y regularlo. #LGTBI #AbortoLegal #Elecciones2021",HS,0
@AniortePepe Lo importante es el trabajo que hacéis día a día desde tu Área por el colectivo #LGTBI y en especial por las #FamiliasLGTBI.Así demostramos que #MadridCiudadDeLasFamilias. De todas las familias 👏🏻👏🏻👏🏻👏🏻,HS,0
"Si haces chistes sobre la manifestación del orgullo #LGTBI  , o públicas memes de burla , no digas que eres Progresista ni Socialista y si me apuras ni tan siquiera persona , eres una puta mierda de ser humano.Y no pongáis cartelitos de apoyo a Samuel , hipócritas de mierda.",NHS,1
#HomofobiaARV El aumento de agresiones a gente #LGTBI es proporcional al crecimiento de @vox_es en España. Hay mensajes de odio y esta es su expresión en la calle. #StopLGTBIfobia #NoNazis #12julio,NHS,1
@enjakeETB ¿Quien me puede explicar que tiene que ver el desgraciado crimen de Samuel en A Coruña con la #homofobia y la #LGTBI?,NHS,1
"Vaya por delante mi creencia en el delito de odio que han cometido por ser #LGTBI pero además creo que es un problema mayor incluso. ¿Ahora resulta q la diversión es emborracharse y de paso darle una paliza a alguien? Ya vamos decidiendo el porqué, unos homófonos, otros racistas",NHS,1
