text,label,label_enc
@ആര്യ സ് നെയർ മേ ബെ അതിലെ കാർത്തികയുടെ ചാർക്ടർ ബൈസക്സുവൽ ആയിരിക്കും,Non_hope_speech,1
വാങ്ങിയത് എന്ത് കുന്തം ആയാലും കളയാൻ പറ്റില്ലല്ലോ ഇനി വാങ്ങാതിരിക്കാൻ ശ്രദ്ധിക്കുക ജെയ് ഇന്ത്യ,Non_hope_speech,1
മാറുമറയ്ക്കാൻ നടത്തിയ സമരം ഒരു പ്രിവിലേജ് ഇഷ്യൂ  ആയിരുന്നു...അത് ഈ വിഷയവുമായി കമ്പയർ ചെയ്യാൻ പറ്റില്ല.താങ്കൾ പറഞ്ഞത് തെറ്റാണ്.സാധാരണ വേഷം അണിഞ്ഞാൽ പോലും നോക്കി കൊല്ലുന്ന നാട്ടുകാർ ഉള്ളയിടത്തു ഫെമിനിസത്തിന് വസ്ത്രത്തെക്കുറിച്ചു  സംസാരിക്കേണ്ടി തന്നെ വരും...,Hope_speech,0
ഇഷാനെ കൂടുതല് കെട്ടിപിടിക്കേണ്ട ഞങ്ങൾക്കറിയാം ഇഷാന്  സൂര്യയോട് ഇച്ചിരി കൊഞ്ചൽ കൂടുതലാണെന്ന്,Non_hope_speech,1
ഇന്ത്യ ഇസ്‌ലാമിക രാജ്യമല്ല.. ഇന്ത്യൻ ഭരണഘടന മാത്രമേ ഇന്ത്യൻ പൗരന്മാർ നോക്കേണ്ടതുളൂ.  ഇന്ത്യൻ നിയമ പ്രകാരം പ്രായപൂർത്തിയായ രണ്ടുപേർക്ക് പരസ്പരം സമ്മതത്തോടെ ഒന്നിച്ചു കഴിയാൻ ഒരു തടസവും ഇല്ല.,Hope_speech,0
ക്സെൻഡറിൻ പകരം ഒക്കെ എന്ത ഉബയോഖിക്കുക,Non_hope_speech,1
ചൈനയുടെ കാര്യം അവര് നോക്കട്ടെ.. ന്ഇന്ത്യയിൽ പെട്രോളിന് ദിവസവും വിലക്കുട്ടി കൊണ്ടിരിക്കുകയാണ് അതിനെതിരെ പ്രതികരിക്കാൻ നോക്....,Non_hope_speech,1
@അഖിൽ ദേവ് സോറി ഇപ്പഴാ മനസിലായത്,Non_hope_speech,1
നിങ്ങൾക് നല്ലത് വരും.....,Hope_speech,0
ഇതിന്റയൊക്കെ റേറ്റിംഗ് കൊറക്കാൻ വെള്ളാ വഴിയുണ്ടോ ന്റിക്ക് ടോക്ക് നെ കിട്ടിയതുപോലെ,Non_hope_speech,1
