text,label,label_enc
இ அல்சோ டோன்'ட் ஹேவ் டிக்டோக் ஹெல்லோ ஆண்ட் ஆலன்பட் இ'ம் யூசிங் க்ஸியாஒமி,Hope_speech,0
தலைவரே..நீங்களே இனும் ஒனே பிளஸ் மொபைல் வச்சுருகிங்க...அதா உடச்சுருங்க,Non_hope_speech,1
அன்னீ வரண்டா தொண்டை.. கொரோனா வைரஸ் அஃபெக்ட் பண்ணும்.. நீங்க பதுகொங்க. பாஸ் கொடுத் பசுக அன்னே. தொண்டய வரண்டா விடதிங்க,Hope_speech,0
5வியூஸ் பட் 18லைக்ஸ்,Non_hope_speech,1
சீனா போன் வகதிக இனு எவங்க எல்லம் டிக்டோக் லா வீடியோ பொடுறவகள் ஞ்சின  போன் வெண்டம் பட் சீனா ஆப்ஸ் மைட்டும் யூஎஸ்இ பண்ணுவக,Non_hope_speech,1
சிஸ்கோ வெபெக்ஸ் மீட்டிங்ஸ் பிரோ,Non_hope_speech,1
யாரு மடன் கௌரியா பான் பன்ரேனு சொன்னாறு? யாருகிட சொல்ரிங்க,Non_hope_speech,1
சபாஷ் செம்மா ஆரம்பம்,Non_hope_speech,1
மோடிஜி குரூப் ஆல் நோ 1 புரோக்கர் குரூப். ஸ்டூப்பிட் குய்.,Non_hope_speech,1
காற்றில் பரவும் வாய்ப்பு உள்ளது,Non_hope_speech,1
ஓவர ஆடுன ஒரு நாள் அடங்கி உட்கரதன் போகபோது சீனா,Non_hope_speech,1
எம்ஆர்எஸ்.சுதா மூர்த்தி பதி பேசுங்களேன்...,Hope_speech,0
பிரோ சோனி மொபைல் பதி வீடியோ பொட்டுங்க பிரோ,Hope_speech,0
இருக்குற வேதனையில இது வேறவா... வேறவா... இறைவா....,Non_hope_speech,1
நான் எதுவும் யூஎஸ்இ பண்ணல,Non_hope_speech,1
வோ கா பாய்,Non_hope_speech,1
அப்போ சீனா கிட்ட இருக்கிறது சிவப்பு பனமா.,Non_hope_speech,1
ஸ்டாப் சீனா மொபைல்ஸ்,Non_hope_speech,1
ஹி சொல்லுக பிரோ,Hope_speech,0
இங்கத நமலும் இருகொம்ன்ஃபர்ஸ்ட் வார் ஸ்டார்ட் ஆசுன ஸ்ரீலங்கா நமலதா அடிபா,Non_hope_speech,1
நீங்க மக்கள செய்தி சொல்லி சாகடிப்ப அதுக்கு அவன் போதும்.,Hope_speech,0
யப்பா போதும்யா கடந்த 6 மாசமா பொழுது விடிஞ்சு பொழுது போனா அந்த நோய் வருது இந்த வைரஸ் வருது இப்படியே கேட்டுக்கேட்டு அம்புட்டு பேரும் சைக்கோவா திரியிறோம் விட்டுடுங்கப்பா எங்களை முடிஞ்சா விழிப்புனர்வு வீடியோ போடுங்க இல்லன்னா வேற எதாவது மேட்டர் பேசுங்க கொஞ்ச நாளைக்கு கொரோனாவுக்கு லீவு கொடுங்கப்பா,Non_hope_speech,1
சீனாஏன் வல்லரசுஇருக்குது அதோடஉற்பத்தித் துறைதான் காரணம் அதைவிட தலைசிறந்த பொருள்களைஇந்தியாவை உருவாக்க அதனால்சீனப் பொருளாதாரத்தைநம்மால் வீழ்த்த சீன பொருட்களை சீன செய்தி பயன்படுத்தாமல் எந்த ஒரு பயனும் நம் நாட்டின்உற்பத்தித் துறையைஉலகத் தரத்திற்குஉருவாக்குவதுதான்இதற்குதகுந்ததுபல்லாயிரம் கோடி மக்கள் எங்கள்படித்தவர்கள் பலஅவர்களின் திறமையைஇங்கு உருவாக்கும் பொருட்களை உலகவிற்கலாம்அதனால்நாட்டின் பொருளாதாரம் உயரும்நாட்டு மக்கள் வாழ்வு உயரும்இதுதான் மிகச் சிறந்தவலி,Hope_speech,0
மடன் நீ சீனா கு சப்போர்ட் பன்ற மாரி தோணுதுன்ன்னீங்க எல்லம் இத பதி தெரியனும் நா ந்சித்து மோஹன் நு ஒரு யூ ட்யூப் இருக்கு அதுல டீட்டெயில்ட் அஹ் இருக்கும்,Non_hope_speech,1
பேக்கிரவுண்ட் மொக்கையா இர்ருகு,Non_hope_speech,1
டேய் இது காத்துல பரவுதான்டா,Non_hope_speech,1
சீக்ரம் ஒனே பிளஸ் 8 ப்ரோ ரிவ்யூ பொட்டுங்க ரோம்பா நாள் வெய்ட்டிங் நீ ரிவ்யூ பொட்ட தன் மோப் வங்க முடியும் பிரோ,Non_hope_speech,1
சாகோ நல்லா மெசேஜ்,Hope_speech,0
எந்த ஆப் உம் என் மோப் லா இலா,Non_hope_speech,1
இந்தியாகு சீனா நெக்கது பிரோ அமெரிக்கா மிஸ்டேக் பண்ணிடிக 9.53,Hope_speech,0
யென் மேக் காகா வெய்ட் கூட பன்னா மட்டங்கள?,Hope_speech,0
பெஸ்ட் வீடியோ உ எவர் மேட்,Hope_speech,0
பிரோ தமிழ்நாடு காலேஜ் செமஸ்டர் பதி கொஞ்சம் சொல்லுங்க  செமஸ்டர் நடக்குமா நடக்கத🤔,Hope_speech,0
ஹிமாதான் பிளீஸ் லைக்,Hope_speech,0
பிரோ யுசி டர்போ பதி வீடியோ பொடுங்க இஷ்யூஸ் பதி,Hope_speech,0
அன்னா யோ வாட்ஸ்அப்...ஆட் ஜிபி வாட்ஸ்அப்...யூஎஸ்இ பண்ணலாமா...வெண்டமா,Non_hope_speech,1
முடிஞ்ச சீனா வா வர்ல்ட் லா இருந்து பான் பனிருங்க,Non_hope_speech,1
அன்னா போர்னைட் கேம் யூஎஸ்இ பிஎன்ஆர்ஏ மாரி என என போன்ஸ் இருகு நு ஸ்லங்கா நா சப்போர்ட் பிஎன்ஆர்ஏ போன் லிஸ்ட் பிஎல்எஸ் பிரோ,Hope_speech,0
சீனா தான் நெக்ஸ்ட் சூப்பர் பவர் நு நோஸ்ட்ரடாமஸ் பிரெடிக்ட் பண்ணார் லா?,Hope_speech,0
பிரோ ஒங்கா வீடியோ பதுட்டு என் விட்லா நெங்க எபுடி நிறுத்தம பேசுரிங்க நு கேகா ரங்கா🤣🤣🤣,Hope_speech,0
அன்னா ஷேர் இட் ஆல்டர்நேட்டிவ் ஆப் சொல்லுங்கன்னா,Non_hope_speech,1
பிரீ பைர் என்ன பிரோ,Non_hope_speech,1
பிரோ டிக் டோக் பதில டிக் கிக் இருக்கு பிரோ,Hope_speech,0
நீங்கே சொன்னது அப்ரமவுது உஷார் அயிருந்த ரோம்போ நல்லா இருந்துகு.. இப்போ இந்தியா அட்டாக் அய்ச்சி புல்லா அய்ச்சி ரோம்போ ரோம்போ கஷ்டமா இருகு இப்போ... இருந்தள்ளு இனிமெல் அவுது. கேர் அய்டுனு தங்க் யூ,Hope_speech,0
சிங்காரி  சரக்கு நல்லா சரக்கு,Non_hope_speech,1
இதுகும் போதிதர்மனுக்கும் என்ன சிமிலாரிட்டி,Non_hope_speech,1
அண்ணா உண்களுக்கு லி சிக்கி யா பிடிக்குமா அனா,Non_hope_speech,1
@ஹியூமன் பெயிங்ஸ்,Hope_speech,0
இந்த வெட்வ் ஆப் குடா சைன்ஸ் ஆப் அஹ்?அன்இன்ஸ்டால்  பண்ணனுமா?,Non_hope_speech,1
நம்ம ஊரு பழமொழி கேனப்பயல் நாட்ல கிறுக்குப்பய நாட்டாமை சூப்பர் ல ஜீ உணர்ச்சிவயப்பட்ட நிலையில் இந்தியா சீனா என்று தவறாக.....,Hope_speech,0
இந்தியா தமிழீழத்தை அங்கிகரித்தால் இந்தியாமீது பக்தி வரும் .அல்லது காங்கிரஸ் நேரு குடும்பத்தை அடியோடு அழிக்க வேண்டும்.,Hope_speech,0
சிர் ட்ரோனெட் ஆப் வேரா எருக,Hope_speech,0
எஸ்பிஆர் இதன் சரியானா வள்ளி,Hope_speech,0
மேக் ஸ்க்வாட் ப்ரோம் எஸ்எல்,Hope_speech,0
ஒப்போ ப்11ப்ரோ ரிவ்யூ பொடுங்க பிரோ,Non_hope_speech,1
கெடி கு அவலோ சீன் லாம் இல்லா அவனுக்கு சீனா எப்போ அப்பு வைகா பொகுதோ 🤣🤣,Hope_speech,0
என்டா ஷேரிட் தவிர வேரா ஆப் எதும் இலா...,Non_hope_speech,1
ஆல் அனிமல்ஸ் குடத சபம் ப்ரோ,Hope_speech,0
பப்க் கு பதில் அஹ் பிரீ பைர் ட்ரை பன்லாமே பிரோ,Hope_speech,0
... நோய் தான வந்திடுது.... நண்பரே... கண்ணுக்கு தெரிந்தால் நம்ம பயலுக கொன்னே போட்ருவாங்க....,Non_hope_speech,1
@ஜெனித் மியூசிக் மேக்கிங் ஜ் பன்றென் யானாக்குன் பனுக,Hope_speech,0
பப்க் இஸ் கோரியன் ரைட்?,Non_hope_speech,1
பப்க் சைன்ஸ் ஆப் இல்லா,Non_hope_speech,1
ப்ரூ வீடியோஸ் லா சூப்பர் ப்ரூ...செமாஸ்டர் நியூஸ் மட்டு சொல்லுங்க புரூ...செமாஸ்டர் இருக? & இல்லைய பிரோ?,Hope_speech,0
ஹி பிரோ ஹெலோ அப்கு ஆல்டர்நேட்டிவ் சொல்லுங்க,Non_hope_speech,1
ஆர்எக்ஸ்100 பதி பேசுக பிரோ....மேக்...,Hope_speech,0
சிர் 8.00 பிஎம் கு அப்லோட் பண்ணு கா,Hope_speech,0
ஒபேரா மினி யூஎஸ்இ பண்ணலாமா,Non_hope_speech,1
ஹெல்லோ எவரியோன் எல்லரும் சேஃப்  இருங்க,Hope_speech,0
இதுல டெய் பப்க் சைன்ஸ் ஆப் நு யாரு டா சொன்னா வென்னா,Non_hope_speech,1
தாய்வா நீங்க சொன்னது டிக்டோக் வே ஹேட்ஸ் ஆஃப்,Hope_speech,0
இதுக்கே ஆச்சரியபட்டா இன்னும் சீன புத்தாண்டு முடியவில்லை அதன் முடிவிற்கு பிறகு பார்க்கலாம் இந்த உலகம் இதிலிருந்து மீண்டெழுமா என்று???,Hope_speech,0
புரியடா புடிர் ஒஃப் வார் அட் கோரானா பீரியட்,Non_hope_speech,1
நீங்க சொன்னா கேம் என் மொபைல் லுக்கு சப்போர்ட் ஆகல என் மொபைல் ஒப்போ ஆ5 2020 புரத்தர்,Non_hope_speech,1
600 இல்லா பிரோ 775,Hope_speech,0
கலிசீ வா குட்டினு வந்து டிராகன்ஸ் வச்சி சவடிச்சுல,Non_hope_speech,1
நைஸ் டிக் டோக் மதிரி ஜிக் ஜோக் கிரியேட் பண்ணுங்க இக் ... 🤣 சீக்ரம்ம் ...🤣 சீனா தொலே தங்க முடியலே எப்பாஆ,Non_hope_speech,1
தரமான கருத்து ப்ரோன்உளவு பார்க்கும் ஆப் மட்டும் நீக்க வேண்டும்.என்என்ஆரம் மீடியா தமிழ்,Non_hope_speech,1
@தமிழ் விஞ்ஞானிகள் பிரோ என்னோட சானலுக்கு சப்ஸ்கிரைப் பண்ணுங்க பிளீஸ் பிரோ தமிழனுக்கு தமிழன் சப்போர்ட் பன்னாட எப்படி சோ பிளீஸ்வ் சப்ஸ்கிரைப் பனுஇங்க பிரோ,Hope_speech,0
புலி வருது கதை,Hope_speech,0
அன்னா ஆஃப்ரிகா ஒடா ஆன்சியன்ட் லாங்குவேஜ் தமிழ் நு சொல்லுறங்க,Non_hope_speech,1
பிரோ பெஸ்டி கேமரா யூஎஸ்இ பண்ணலாமா,Non_hope_speech,1
எவா ஏவண்டா கோமாலி பலைய நியூஸ் அஹ் சொலிட்டு எருக்க.,Hope_speech,0
பிரோ 8 ஒ க்ளாக் ⏰பொடுங்க,Hope_speech,0
அன்னா 8பிஎம் ஒ 8,Hope_speech,0
ஏன் தல இந்த ஜாக்மா மட்டும் கடைய திறந்து இருகான் எல்லாம் அரசியல்,Non_hope_speech,1
நல்லா வேலகரனை தான்....திருடன் சொல்லிஎருக்கங்களோ....🤔#தமிழ்டெக்,Non_hope_speech,1
சீனா காரன் மாச மாசம் படம் ரிலீஸ் பன்ரா மாரி,Non_hope_speech,1
விஎன்  எடிட்டிங் ஆப் செம்மாக,Hope_speech,0
ஸ்  சிஸ்டர்,Hope_speech,0
வணக்கம் நண்பர்களே...ந்உங்கள் ஆதரை தாருங்கள்...,Hope_speech,0
நண்பா...நம் வீடியோகளை பாருங்க...உங்களுக்கு பிடிக்கும்...பிடித்தால் ஆதரவு தாருங்கள் பிரெண்ட்ஸ்...50 சப்ஸ் அடைய உதவுங்கள் மேக் ஸ்க்வாட்,Hope_speech,0
ஐபிஏ வரகும் சிஎம் ஸ்கேனர் த யூஎஸ்இ பண்ணிட்டு இருந்தண்ணினி மால்நடோப் ஸ்கேனர் யூஎஸ்இ பண்ணலம் நு இருகன்,Hope_speech,0
தலைவ எப்போ நீங்க இந்த சேவ் ஜர்னலிசம் பதி பேசுவிங்க,Hope_speech,0
பிரோ நீகா சொன்னா ஏந்த ஆப் உம் என் கிட்ட இயல்லா,Non_hope_speech,1
உண்மைய ரிசர்ச் லா பன்னி முலியமா டா வர்டா உண்மைல இந்த வைரஸ்க்கு ஹியூமன் டோ ஹியூமன் டிரான்ஸ்மிஷன் இலய அபடி அந்த நியூஸ்பேப்பர் லா பொடரங்க ரிப்போர்ட்டர்ஸ் நலா கன்ஃபார்மா தெரியும பிஎல்ஏ பிஎல்ஏ பிஎல்ஏ!!!,Hope_speech,0
உன்ன மாரி வேசி ஊடகம் இருந்தா எப்படி ஜெய்கமுடியும்,Non_hope_speech,1
அற்பமான விஷயங்களுக்கு முக்கியத்துவம் கொடுக்கும் நம் மக்கள்,Non_hope_speech,1
பிரோ எம்எக்ஸ் ஷேர் இருகே பிரோ,Hope_speech,0
ஒன்று உண்மையை சொல்,Hope_speech,0
அண்ணே எக்ஸாம் அப்டேட் சொல்லுங்க,Hope_speech,0
இ ஏஎம் வெய்ட்டிங்,Hope_speech,0
#டிடிகே ந்சூப்பர் பிரோ  ஐஏஎம் சப்போர்ட் ட் ஷர்ட் சூப்பர் புரோன்ஹெல்லோ ஆப் டிக்டோக் பிரோ,Hope_speech,0
பிரீடம் 251  ?,Non_hope_speech,1
எப்படி இது வந்தடு,Hope_speech,0
எதவென சப்தளம்னு பராக்ரது,Non_hope_speech,1
எதுக்கும் அச்ச கூடது... இந்த உலகத்துல எவன் வந்து போர் வந்தாலும் அதை எதிர்க்க தயாராக உள்ளது என்று இந்தியன்.. செய் அல்லது செத்து மடி அப்படி உள்ள கொள்கை உள்ளம் களத்துல சந்திப்பம்,Hope_speech,0
மடன் ஒரு சைன்ஸ் கை குளி🤣🤣🤣,Non_hope_speech,1
எனக்கு கிடைக்கவில்லை ப்ரோ,Non_hope_speech,1
மேக் ஸ்க்வாட் ப்ரோம் கொயிம்பேட்டோர் பிரோ 🥳,Hope_speech,0
கனடாவிலும் இரண்டு பேருக்கு வந்து விட்டது,Non_hope_speech,1
இந்த 2020 முடிவதற்குள் எத்தனை நோய்கள் எத்தனை எதிரிகளை சந்திக்க வேண்டி இருக்கும் ‌என தெரியவில்லை....,Non_hope_speech,1
அடங்கபாவா.....எந்த சிஎம்டிலாயா....செய்....போய் விஜய் டிவி லா ஆன்கோர்ஸ் ஏஏ ஜாயிண்ட் பண்ணூ ....அந்தமத்ரி விடியா எதச்சும் வெள்ள பரூ,Non_hope_speech,1
அதுலாம் சரி...எல்லை ல பெரிய அளவில் பிரச்சினை இருக்கு...இந்திய இறையாண்மை பாதுகாக்க வேண்டும்.ந்சீனா ஆப்ஸ் அன்இன்ஸ்டால்ட் பண்ணுனா ஒன்னும் ஆகாது னு எப்டி சொல்லலாம். ஒஃப் கோர்ஸ்  சீனா போன் நெறய யூஎஸ்இ இருக்கு...கொஞ்ச கொஞ்சமா தான் மாற முடியும்..லாங் டெர்ம் லா கிழிக்கனும் னு சொல்ற...ஆப்ஸ் ல இருந்து ஆரமிக்குறோம்,Non_hope_speech,1
மாத்ரம் ஒன்றே மரதது. எவளவு டேஸ் கு அமெரிக்கா டாப் அஹ் எருகும். எப்போ எல்லனலும் எனைகவது ஒரு நல் அமெரிக்கா டவுன் அகும்.,Non_hope_speech,1
இதை தன் ஸ்ரீலங்கா உம் பண்ணும் உண்களுக்கு,Non_hope_speech,1
இனிய பிறந்த நாள் வாழ்த்துக்கள்,Hope_speech,0
@கணேஷ் ர்ஜ் அது சீனா ஆப் இல்லா பிரோ,Non_hope_speech,1
டோடே தோனி டேஸ்.....,Non_hope_speech,1
டிக் டோக் ஒளிஞ்சது ஒளிஞதாவே இருக்கட்டும் மது பழக்கத்துக்கு அடிமையானவர்க ளை விட டிக் டோக்  கு அடிமையானவர்கள் தான் அதிகமாக உள்ளனர்,Hope_speech,0
பிரோ விவா வீடியோ ஆல்டர் நேட்டிவ் ஆப் பவர் டைரக்ட் ஆப் இந்தியன் ஆப்,Hope_speech,0
பிரோ கண்டம் நா?,Non_hope_speech,1
அன்னா ஜெயராஜ் ஆண்ட் பென்னிக்ஸ் அவங்கள பதி மறுபடியம் ஒரு வீடியோ பொடுங்க,Non_hope_speech,1
எல்லரும் கிட்னி ரெட்யா வெச்சிகொங்க,Hope_speech,0
